2014-12-02 00:00:00 Launching analysis for 1249929887 with LEAN Engine v2.5.0.0
2014-12-02 00:00:00 Extreme Performance 2025 Strategy Initialized
2014-12-02 00:00:00 Accurate daily end-times now enabled by default. See more at https://qnt.co/3YHaWHL. To disable it and use legacy daily bars set self.settings.daily_precise_end_time = False.
2014-12-02 00:00:00 Algorithm starting warm up...
2015-01-02 11:00:00 Algorithm finished warming up.
2016-03-07 10:00:00 Weekly Stats - Trades: 64, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2016-03-14 10:00:00 Weekly Stats - Trades: 66, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2016-03-21 10:00:00 Weekly Stats - Trades: 68, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2016-04-18 10:00:00 Weekly Stats - Trades: 69, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2016-05-09 10:00:00 Weekly Stats - Trades: 70, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2016-05-16 10:00:00 Weekly Stats - Trades: 71, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2016-05-23 10:00:00 Weekly Stats - Trades: 73, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2016-05-31 10:00:00 Weekly Stats - Trades: 75, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2016-06-27 10:00:00 Weekly Stats - Trades: 76, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2016-07-05 10:00:00 Weekly Stats - Trades: 79, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2016-07-11 10:00:00 Weekly Stats - Trades: 81, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2016-07-18 10:00:00 Weekly Stats - Trades: 82, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2016-09-26 10:00:00 Weekly Stats - Trades: 84, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2016-11-14 10:00:00 Weekly Stats - Trades: 85, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2016-12-12 10:00:00 Weekly Stats - Trades: 87, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2017-01-09 10:00:00 Weekly Stats - Trades: 88, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2017-01-30 10:00:00 Weekly Stats - Trades: 89, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2017-03-06 10:00:00 Weekly Stats - Trades: 90, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2017-03-20 10:00:00 Weekly Stats - Trades: 91, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2017-05-01 10:00:00 Weekly Stats - Trades: 92, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2017-06-05 10:00:00 Weekly Stats - Trades: 93, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2017-06-26 10:00:00 Weekly Stats - Trades: 94, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2017-07-17 10:00:00 Weekly Stats - Trades: 95, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2017-08-21 10:00:00 Weekly Stats - Trades: 96, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2017-08-28 10:00:00 Weekly Stats - Trades: 97, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2017-09-18 10:00:00 Weekly Stats - Trades: 98, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2017-12-04 10:00:00 Weekly Stats - Trades: 100, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-01-08 10:00:00 Weekly Stats - Trades: 101, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-01-16 10:00:00 Weekly Stats - Trades: 103, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-01-22 10:00:00 Weekly Stats - Trades: 105, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-01-29 10:00:00 Weekly Stats - Trades: 108, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-02-05 10:00:00 Weekly Stats - Trades: 109, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-02-12 10:00:00 Weekly Stats - Trades: 110, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-02-20 10:00:00 Weekly Stats - Trades: 113, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-02-26 10:00:00 Weekly Stats - Trades: 115, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-03-05 10:00:00 Weekly Stats - Trades: 117, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-03-12 10:00:00 Weekly Stats - Trades: 121, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-03-19 10:00:00 Weekly Stats - Trades: 122, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-04-02 10:00:00 Weekly Stats - Trades: 126, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-04-09 10:00:00 Weekly Stats - Trades: 130, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-04-23 10:00:00 Weekly Stats - Trades: 131, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-04-30 10:00:00 Weekly Stats - Trades: 132, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-05-07 10:00:00 Weekly Stats - Trades: 134, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-05-14 10:00:00 Weekly Stats - Trades: 137, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-06-04 10:00:00 Weekly Stats - Trades: 138, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-06-11 10:00:00 Weekly Stats - Trades: 139, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-07-09 10:00:00 Weekly Stats - Trades: 141, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-07-16 10:00:00 Weekly Stats - Trades: 144, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-07-30 10:00:00 Weekly Stats - Trades: 145, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-08-20 10:00:00 Weekly Stats - Trades: 146, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-09-04 10:00:00 Weekly Stats - Trades: 147, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-09-24 10:00:00 Weekly Stats - Trades: 148, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-10-22 10:00:00 Weekly Stats - Trades: 149, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-11-05 10:00:00 Weekly Stats - Trades: 150, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-11-12 10:00:00 Weekly Stats - Trades: 153, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-11-19 10:00:00 Weekly Stats - Trades: 156, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-11-26 10:00:00 Weekly Stats - Trades: 157, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-12-03 10:00:00 Weekly Stats - Trades: 160, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-12-10 10:00:00 Weekly Stats - Trades: 161, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2018-12-31 10:00:00 Weekly Stats - Trades: 165, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-01-07 10:00:00 Weekly Stats - Trades: 168, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-01-14 10:00:00 Weekly Stats - Trades: 170, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-01-22 10:00:00 Weekly Stats - Trades: 173, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-01-28 10:00:00 Weekly Stats - Trades: 177, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-02-04 10:00:00 Weekly Stats - Trades: 180, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-02-11 10:00:00 Weekly Stats - Trades: 181, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-02-19 10:00:00 Weekly Stats - Trades: 184, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-02-25 10:00:00 Weekly Stats - Trades: 186, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-03-18 10:00:00 Weekly Stats - Trades: 187, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-03-25 10:00:00 Weekly Stats - Trades: 188, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-04-01 10:00:00 Weekly Stats - Trades: 190, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-04-08 10:00:00 Weekly Stats - Trades: 194, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-04-15 10:00:00 Weekly Stats - Trades: 197, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-04-22 10:00:00 Weekly Stats - Trades: 198, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-04-29 10:00:00 Weekly Stats - Trades: 199, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-05-06 10:00:00 Weekly Stats - Trades: 201, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
2019-05-13 10:00:00 Weekly Stats - Trades: 202, Win Rate: 0.00%, Avg Profit: 0.00%, Drawdown: 0.00%, Leverage: 3.0
